grantee,grantee_url,amount,fiscal_year,grant_type,grant_description
Media Matters,https://www.baumanfoundation.org/grantee/48,"$100,000",2010-11,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$100,000",2009-10,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$150,000",2008-09,General Support,
Metropolitan Opera,https://www.baumanfoundation.org/grantee/42,"$50,000",2011-12,General Support,
Metropolitan Opera,https://www.baumanfoundation.org/grantee/42,"$90,000",2010-11,General Support,
Metropolitan Opera,https://www.baumanfoundation.org/grantee/42,"$50,000",2009-10,General Support,
Metropolitan Opera,https://www.baumanfoundation.org/grantee/42,"$50,000",2008-09,General Support,
Metropolitan State University,https://www.baumanfoundation.org/grantee/216,"$10,000",2015-16,Project Grant,Master of Advocacy and Political Leadership Fund
Metropolitan State University,https://www.baumanfoundation.org/grantee/216,"$10,000",2014-15,Project Grant,Master of Advocacy and Political Leadership Fund
Minnesota Council of Nonprofits,https://www.baumanfoundation.org/grantee/91,"$5,000",2012-13,Project Grant,Minnesota Participation Project
Minnesota Council of Nonprofits,https://www.baumanfoundation.org/grantee/91,$500,2011-12,Project Grant,Anniversary Dinner
Missouri Organizing and Voter Engagement Collaborative,https://www.baumanfoundation.org/grantee/236,"$50,000",2016-17,General Support,
Montefiore,https://www.baumanfoundation.org/grantee/43,"$250,000",2014-15,General Support,
Montefiore,https://www.baumanfoundation.org/grantee/43,"$250,000",2013-14,General Support,
Montefiore,https://www.baumanfoundation.org/grantee/43,"$250,000",2012-13,General Support,
Montefiore,https://www.baumanfoundation.org/grantee/43,"$250,000",2011-12,Project Grant,Education Project
Montefiore,https://www.baumanfoundation.org/grantee/43,"$250,000",2010-11,Project Grant,Childhood Obesity Research
Montefiore,https://www.baumanfoundation.org/grantee/43,"$250,000",2008-09,Project Grant,Obesity Research
NAACP,https://www.baumanfoundation.org/grantee/14,"$150,000",2010-11,General Support,
NALEO Educational Fund,https://www.baumanfoundation.org/grantee/224,"$4,000",2015-16,General Support,
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$7,500",2016-17,Project Grant,Ridenhour Prizes
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$7,500",2015-16,Project Grant,Ridenhour Prizes
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$7,500",2014-15,Project Grant,Ridenhour Prizes
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$7,500",2012-13,Project Grant,Ridenhour Awards
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$1,000",2011-12,Project Grant,Ridenhour Luncheon
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$25,000",2010-11,Project Grant,Investigative Fund
Nation Institute,https://www.baumanfoundation.org/grantee/49,"$25,000",2009-10,Project Grant,Investigative Fund
National Center for Economic Alternatives,https://www.baumanfoundation.org/grantee/70,"$25,000",2009-10,General Support,
National Committee for Responsive Philanthropy,https://www.baumanfoundation.org/grantee/80,"$10,000",2013-14,General Support,
National Committee for Responsive Philanthropy,https://www.baumanfoundation.org/grantee/80,"$10,000",2012-13,General Support,
National Committee for Responsive Philanthropy,https://www.baumanfoundation.org/grantee/80,"$15,000",2011-12,General Support,
National Conference of State Legislatures,https://www.baumanfoundation.org/grantee/237,"$4,000",2016-17,Project Grant,
National Council of La Raza,https://www.baumanfoundation.org/grantee/117,"$50,000",2014-15,General Support,
National Council of La Raza,https://www.baumanfoundation.org/grantee/117,"$50,000",2013-14,General Support,
National Council of La Raza,https://www.baumanfoundation.org/grantee/117,"$125,000",2012-13,Project Grant,Voter Engagement Project
National Council of La Raza,https://www.baumanfoundation.org/grantee/117,"$150,000",2012-13,Project Grant,Latino Unity for Fair Economy
National Council of La Raza,https://www.baumanfoundation.org/grantee/117,"$125,000",2011-12,Project Grant,Civic Engagement Project
National Freedom of Information Coalition,https://www.baumanfoundation.org/grantee/118,"$1,000",2016-17,General Support,
National Freedom of Information Coalition,https://www.baumanfoundation.org/grantee/118,"$25,000",2011-12,General Support,
National Gallery of Art,https://www.baumanfoundation.org/grantee/120,"$25,000",2011-12,Project Grant,Art Around the Corner
National Institute on Money in State Politics,https://www.baumanfoundation.org/grantee/133,"$25,000",2015-16,General Support,
National Institute on Money in State Politics,https://www.baumanfoundation.org/grantee/133,"$30,000",2014-15,General Support,
National Institute on Money in State Politics,https://www.baumanfoundation.org/grantee/133,"$30,000",2013-14,General Support,
National Institute on Money in State Politics,https://www.baumanfoundation.org/grantee/133,"$25,000",2012-13,General Support,
National Institute on Money in State Politics,https://www.baumanfoundation.org/grantee/133,"$25,000",2011-12,General Support,
National LGBTQ Taskforce,https://www.baumanfoundation.org/grantee/233,"$50,000",2016-17,Project Grant,FedWatch
National People's Action,https://www.baumanfoundation.org/grantee/134,"$65,000",2015-16,General Support,
National People's Action,https://www.baumanfoundation.org/grantee/134,"$65,000",2014-15,General Support,
National People's Action,https://www.baumanfoundation.org/grantee/134,"$5,000",2014-15,General Support,
National People's Action,https://www.baumanfoundation.org/grantee/134,"$60,000",2013-14,General Support,
National People's Action,https://www.baumanfoundation.org/grantee/134,"$2,500",2013-14,Project Grant,Voter File Project
National People's Action,https://www.baumanfoundation.org/grantee/134,"$50,000",2012-13,General Support,
National People's Action,https://www.baumanfoundation.org/grantee/134,"$10,000",2011-12,General Support,
National People's Action,https://www.baumanfoundation.org/grantee/134,"$5,000",2011-12,Project Grant,99% Power Project
National Priorities Project,https://www.baumanfoundation.org/grantee/194,"$25,000",2013-14,General Support,
National Security Archive Fund,https://www.baumanfoundation.org/grantee/229,"$50,000",2015-16,Project Grant,Freedom of Information Success Project
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$45,000",2015-16,General Support,
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$30,000",2014-15,General Support,
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$30,000",2013-14,General Support,
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$30,000",2012-13,General Support,
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$30,000",2011-12,Project Grant,Research on sleep quality
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$40,000",2010-11,General Support,
National Sleep Research Institute,https://www.baumanfoundation.org/grantee/44,"$40,000",2009-10,General Support,
National Women’s Law Center,https://www.baumanfoundation.org/grantee/164,"$25,000",2012-13,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$150,000",2014-15,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$275,000",2013-14,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$400,000",2012-13,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$150,000",2011-12,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$250,000",2011-12,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$450,000",2010-11,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$250,000",2009-10,General Support,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$100,000",2009-10,Project Grant,Environmental Health Messaging
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$300,000",2009-10,Project Grant,
Natural Resources Defense Council,https://www.baumanfoundation.org/grantee/31,"$650,000",2008-09,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$250,000",2017-18,General Support,State Infrastructure Fund
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$200,000",2017-18,General Support,Civic Participation Project
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$800,000",2016-17,General Support,Civic Participation Project
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$250,000",2016-17,General Support,State Infrastructure Fund
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$25,000",2016-17,General Support,Funder's Committee for Civic Participation
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$250,000",2015-16,General Support,State Infrastructure Fund
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$200,000",2015-16,General Support,Civic Participation Project
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$25,000",2015-16,General Support,Funders' Committee for Civic Participation
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$200,000",2015-16,General Support,Civic Participation Project
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$25,000",2015-16,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$200,000",2015-16,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$600,000",2014-15,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$250,000",2014-15,General Support,State Infrastructure Fund
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$700,000",2014-15,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$20,000",2014-15,Project Grant,Funders' Committee for Civic Participation
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$50,000",2014-15,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$175,000",2014-15,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$250,000",2013-14,General Support,State Infrastructure Fund
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$500,000",2013-14,General Support,
NEO Philanthropy (formerly Public Interest Projects),https://www.baumanfoundation.org/grantee/16,"$20,000",2013-14,General Support,Funder's Committee for Civic Participation
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$30,000",2016-17,Project Grant,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$42,500",2015-16,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$35,000",2014-15,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$35,000",2013-14,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$20,000",2012-13,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$35,000",2012-13,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$50,000",2011-12,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$25,000",2010-11,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$35,000",2009-10,General Support,
Network Education Program,https://www.baumanfoundation.org/grantee/28,"$50,000",2008-09,General Support,
New Jersey Work Environment Council,https://www.baumanfoundation.org/grantee/77,"$25,000",2011-12,General Support,
New Jersey Work Environment Council,https://www.baumanfoundation.org/grantee/77,$500,2011-12,Project Grant,Anniversary Dinner
New Jersey Work Environment Council,https://www.baumanfoundation.org/grantee/77,"$50,000",2008-09,General Support,
New Organizing Institute Education Fund,https://www.baumanfoundation.org/grantee/159,"$40,000",2014-15,General Support,
New Organizing Institute Education Fund,https://www.baumanfoundation.org/grantee/159,"$50,000",2013-14,Project Grant,ColorOfChange.org
New Organizing Institute Education Fund,https://www.baumanfoundation.org/grantee/159,"$25,000",2012-13,Project Grant,Colorofchange.org
New Organizing Institute Education Fund,https://www.baumanfoundation.org/grantee/159,"$50,000",2012-13,Project Grant,Colorofchange.org
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$15,000",2015-16,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$17,000",2014-15,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$15,000",2013-14,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$15,000",2012-13,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$15,000",2011-12,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$15,000",2010-11,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$25,000",2009-10,General Support,
"New Press, The",https://www.baumanfoundation.org/grantee/45,"$25,000",2008-09,General Support,
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$100,000",2017-18,Project Grant,2020 Census Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$50,000",2017-18,Project Grant,The Research Fund
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$100,000",2016-17,General Support,Americans for Tax Fairness
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$25,000",2016-17,General Support,Center for Secure and Modern Elections
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$50,000",2016-17,Project Grant,Effective Voter Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$100,000",2016-17,Project Grant,2020 Census Initiative
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$25,000",2016-17,Project Grant,The Research Fund
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$100,000",2015-16,Project Grant,Americans for Tax Fairness
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$75,000",2015-16,Project Grant,The Research Fund
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$75,000",2015-16,Project Grant,Redistricting Reform Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$50,000",2015-16,Project Grant,Effective Voter Participation Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$123,600",2015-16,General Support,Creation Care Fund
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$200,000",2015-16,Project Grant,2020 Census Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$100,000",2015-16,Project Grant,2020 Census Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$50,000",2015-16,Project Grant,Redistricting Reform Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$150,000",2014-15,General Support,Redistricting Reform
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$100,000",2014-15,General Support,Americans for Tax Fairness
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$5,000",2014-15,General Support,Redistricting Reform Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$50,000",2014-15,General Support,Effective Voter Participation Project
New Venture Fund,https://www.baumanfoundation.org/grantee/119,"$11,000",2014-15,General Support,Effective Voter Participation
New York Women's Foundation,https://www.baumanfoundation.org/grantee/176,"$5,000",2012-13,General Support,
North Carolina Justice Center,https://www.baumanfoundation.org/grantee/197,"$9,000",2014-15,Project Grant,Voter Files for Civic Engagement & Advocacy Work on Tax Issues
OneAmerica,https://www.baumanfoundation.org/grantee/158,"$10,000",2012-13,General Support,
Open Space Conservancy,https://www.baumanfoundation.org/grantee/32,"$300,000",2010-11,General Support,
Our Children's Trust,https://www.baumanfoundation.org/grantee/228,"$1,000",2015-16,General Support,
Our House Youth Home,https://www.baumanfoundation.org/grantee/46,"$25,125",2014-15,Project Grant,Culinary Training and Certification Program
Our House Youth Home,https://www.baumanfoundation.org/grantee/46,"$50,000",2013-14,Project Grant,Farm Project
Our House Youth Home,https://www.baumanfoundation.org/grantee/46,"$35,000",2010-11,General Support,
Pennsylvania Voice,https://www.baumanfoundation.org/grantee/238,"$30,000",2016-17,Project Grant,Census and redistricting work
People's Action Institute,https://www.baumanfoundation.org/grantee/235,"$50,000",2016-17,General Support,
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$10,000",2014-15,Project Grant,Let My People Vote
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$75,000",2014-15,General Support,
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$25,000",2014-15,General Support,
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$75,000",2013-14,General Support,
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$30,000",2012-13,General Support,
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$50,000",2012-13,Project Grant,Prophetic Voices Initiative
PICO National Network,https://www.baumanfoundation.org/grantee/135,"$7,500",2011-12,General Support,
ProgressNow Education,https://www.baumanfoundation.org/grantee/50,"$100,000",2010-11,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$80,000",2015-16,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$78,500",2015-16,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$80,000",2014-15,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$1,000",2014-15,General Support,Event Support
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$75,000",2014-15,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$75,000",2013-14,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$75,000",2012-13,General Support,
Project on Government Oversight,https://www.baumanfoundation.org/grantee/92,"$75,000",2011-12,General Support,
Project Vote,https://www.baumanfoundation.org/grantee/15,"$10,000",2013-14,General Support,
Project Vote,https://www.baumanfoundation.org/grantee/15,"$60,000",2010-11,General Support,
Protect Democracy Project,https://www.baumanfoundation.org/grantee/240,"$300,000",2017-18,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$200,000",2016-17,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$160,000",2015-16,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$160,000",2014-15,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$12,000",2013-14,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$160,000",2013-14,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$160,000",2012-13,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$100,000",2011-12,General Support,
Public Citizen Foundation,https://www.baumanfoundation.org/grantee/39,"$50,000",2010-11,General Support,
Red Hook Initiative,https://www.baumanfoundation.org/grantee/195,"$5,000",2013-14,General Support,
Reporters Committee for Freedom of the Press,https://www.baumanfoundation.org/grantee/82,"$30,000",2011-12,General Support,
Rock the Vote,https://www.baumanfoundation.org/grantee/18,"$75,000",2015-16,General Support,
Rock the Vote,https://www.baumanfoundation.org/grantee/18,"$75,000",2011-12,General Support,
Rock the Vote,https://www.baumanfoundation.org/grantee/18,"$25,000",2010-11,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$75,000",2016-17,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$150,000",2015-16,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$200,000",2014-15,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$450,000",2013-14,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$450,000",2012-13,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$500,000",2011-12,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$100,000",2011-12,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$500,000",2010-11,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$500,000",2009-10,General Support,
Rockefeller Philanthropy Advisors,https://www.baumanfoundation.org/grantee/19,"$500,000",2008-09,General Support,
Roosevelt Institute,https://www.baumanfoundation.org/grantee/47,"$15,000",2013-14,Project Grant,Campus Network
Roosevelt Institute,https://www.baumanfoundation.org/grantee/47,"$25,000",2011-12,Project Grant,Campus Network
Roosevelt Institute,https://www.baumanfoundation.org/grantee/47,"$25,000",2010-11,Project Grant,Campus Network
Roosevelt Institute,https://www.baumanfoundation.org/grantee/47,"$25,000",2009-10,Project Grant,Campus Network
Roosevelt Institute,https://www.baumanfoundation.org/grantee/47,"$25,000",2008-09,General Support,
Saint Mary's College of Maryland,https://www.baumanfoundation.org/grantee/72,"$25,000",2009-10,Project Grant,Center for the Study of Democracy
Sierra Club Foundation,https://www.baumanfoundation.org/grantee/71,"$200,000",2009-10,General Support,
Sierra Club Foundation,https://www.baumanfoundation.org/grantee/71,"$200,000",2008-09,General Support,
"Small Business Majority Foundation, Inc",https://www.baumanfoundation.org/grantee/93,"$30,000",2015-16,General Support,
"Small Business Majority Foundation, Inc",https://www.baumanfoundation.org/grantee/93,"$30,000",2014-15,General Support,
"Small Business Majority Foundation, Inc",https://www.baumanfoundation.org/grantee/93,"$30,000",2013-14,General Support,
"Small Business Majority Foundation, Inc",https://www.baumanfoundation.org/grantee/93,"$30,000",2012-13,General Support,
"Small Business Majority Foundation, Inc",https://www.baumanfoundation.org/grantee/93,"$30,000",2011-12,General Support,
Southern Coalition for Social Justice,https://www.baumanfoundation.org/grantee/217,"$25,000",2016-17,General Support,
Southern Coalition for Social Justice,https://www.baumanfoundation.org/grantee/217,"$20,000",2015-16,General Support,
Southern Coalition for Social Justice,https://www.baumanfoundation.org/grantee/217,"$20,000",2014-15,General Support,
Southsiders Organized for Unity and Liberation,https://www.baumanfoundation.org/grantee/198,"$10,000",2014-15,Project Grant,IIRON Education Fund
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$5,000",2016-17,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$5,000",2016-17,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$10,000",2015-16,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$10,000",2015-16,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$10,000",2014-15,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$10,000",2014-15,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$20,000",2013-14,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$20,000",2012-13,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$10,000",2011-12,General Support,
St. John Neumann Catholic Church,https://www.baumanfoundation.org/grantee/144,"$10,000",2011-12,General Support,
State Innovation Exchange,https://www.baumanfoundation.org/grantee/212,"$30,000",2015-16,General Support,
State Innovation Exchange,https://www.baumanfoundation.org/grantee/212,"$20,000",2014-15,General Support,
State Voices,https://www.baumanfoundation.org/grantee/20,"$1,000",2016-17,General Support,
State Voices,https://www.baumanfoundation.org/grantee/20,"$100,000",2016-17,General Support,
State Voices,https://www.baumanfoundation.org/grantee/20,"$25,000",2015-16,General Support,Virginia Civic Engagement Table
State Voices,https://www.baumanfoundation.org/grantee/20,"$40,000",2015-16,General Support,Michigan Voice
State Voices,https://www.baumanfoundation.org/grantee/20,"$100,000",2015-16,General Support,
State Voices,https://www.baumanfoundation.org/grantee/20,"$40,000",2014-15,General Support,Michigan Voice
State Voices,https://www.baumanfoundation.org/grantee/20,"$25,000",2014-15,General Support,
State Voices,https://www.baumanfoundation.org/grantee/20,"$50,000",2010-11,General Support,
State Voices,https://www.baumanfoundation.org/grantee/20,"$150,000",2009-10,General Support,
Sustainable Tompkins,https://www.baumanfoundation.org/grantee/227,"$1,000",2015-16,Project Grant,Greening Earth Day Project
TakeAction Minnesota Education Fund,https://www.baumanfoundation.org/grantee/154,"$5,000",2012-13,Project Grant,"Our Vote, Our Future Project"
TakeAction Minnesota Education Fund,https://www.baumanfoundation.org/grantee/154,"$35,000",2012-13,Project Grant,Minnesota Revenue Field Campaign
Taxpayers for Common Sense,https://www.baumanfoundation.org/grantee/221,"$1,000",2014-15,Project Grant,"""Mr. Smith Goes to Washington"" Award Presentation and Reception"
Texas League of Conservation Voters Educational Fund,https://www.baumanfoundation.org/grantee/165,"$2,000",2013-14,General Support,
Texas League of Conservation Voters Educational Fund,https://www.baumanfoundation.org/grantee/165,"$1,000",2012-13,General Support,
The American Prospect,https://www.baumanfoundation.org/grantee/241,"$25,000",2017-18,General Support,
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$310,000",2017-18,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$90,000",2017-18,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$180,000",2017-18,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$200,000",2017-18,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$25,000",2016-17,Project Grant,Indivisible Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$300,000",2015-16,Project Grant,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$300,000",2015-16,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$300,000",2015-16,Project Grant,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$350,000",2015-16,Project Grant,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$250,000",2014-15,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$150,000",2014-15,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$100,000",2014-15,General Support,New Strategies Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$100,000",2013-14,General Support,New Strategies Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$500,000",2012-13,General Support,Voter Action Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$100,000",2012-13,General Support,New Strategies Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$500,000",2011-12,General Support,
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$100,000",2011-12,Project Grant,New Strategies Fund
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$25,000",2010-11,Project Grant,Beatitudes Society
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$500,000",2010-11,General Support,
Tides Foundation,https://www.baumanfoundation.org/grantee/22,"$150,000",2009-10,General Support,
"Trauma Center at Justice Resource Institute, The",https://www.baumanfoundation.org/grantee/210,"$1,500",2014-15,General Support,
Trustees of Tufts College,https://www.baumanfoundation.org/grantee/130,"$100,000",2011-12,Project Grant,Global Development and Environment Institute
Tufts University,https://www.baumanfoundation.org/grantee/74,"$115,000",2008-09,Project Grant,Global Development - Environmental Institute T & E
U.S. PIRG Education Fund,https://www.baumanfoundation.org/grantee/94,"$30,000",2014-15,General Support,
U.S. PIRG Education Fund,https://www.baumanfoundation.org/grantee/94,"$30,000",2013-14,Project Grant,Safeguarding Public Health and Financial Security program
U.S. PIRG Education Fund,https://www.baumanfoundation.org/grantee/94,"$50,000",2012-13,Project Grant,Safeguarding Public Health and Financial Security program
U.S. PIRG Education Fund,https://www.baumanfoundation.org/grantee/94,"$50,000",2011-12,Project Grant,Safeguarding Public Health and Financial Security program
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2016-17,Project Grant,Center for Science and Democracy
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2015-16,Project Grant,Advancing Independent Science for a Stronger Democracy
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2014-15,General Support,
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2013-14,General Support,
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2012-13,Project Grant,Defending the Role of Science in Building Strong Public Protections project
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2012-13,Project Grant,Defending the Role of Science in Building Strong Public Protections
Union of Concerned Scientists,https://www.baumanfoundation.org/grantee/136,"$50,000",2011-12,Project Grant,Scientific Integrity Program
